,id,title,runtime,vote_average
21642,320849,Ice Age Columbus: Who Were the First Americans?,0.0,10.0
15710,96451,If God Is Willing and da Creek Don't Rise,255.0,10.0
22396,72123,Meat the Truth,74.0,10.0
22395,230864,Marvin Hamlisch: What He Did For Love,82.0,10.0
35343,140595,Elaine Stritch: At Liberty,140.0,10.0
186,58372,Reckless,91.0,10.0
45047,405446,The Human Surge,96.0,10.0
22377,163795,The Guide,94.0,10.0
22346,388182,هیچ کجا هیچ کس,,10.0
1634,64562,Other Voices Other Rooms,0.0,10.0
35461,43823,Tom Brown's School Days,86.0,10.0
22255,132812,Cowboy del Amor,86.0,10.0
45005,352387,Fool's Day,19.0,10.0
41879,190605,Panorama of Esplanade by Night,1.0,10.0
41845,170078,Maula Jat,156.0,10.0
40431,137381,People of a Feather,90.0,10.0
40442,414827,Siccin 3: Cürmü Ask,87.0,10.0
27908,66787,Mentor,92.0,10.0
41804,299909,Bella Vita,0.0,10.0
41797,305019,Campaign of Hate: Russia and Gay Propaganda,0.0,10.0
13939,38971,Pavement: Slow Century,85.0,10.0
22052,143534,The White Shadow,44.0,10.0
37672,47683,Love at 16,102.0,10.0
44197,86594,In Search of Ancient Astronauts,0.0,10.0
41709,400753,The Bachelor,110.0,10.0
37602,65270,Kenny Chesney: Summer In 3D,0.0,10.0
41698,290911,Paradies 505. Ein Niederbayernkrimi,,10.0
41695,365544,Крепость: щитом и мечом,,10.0
37582,131907,God is on Air,91.0,10.0
40269,288503,Killjoy,96.0,10.0
37877,185273,Bowery Battalion,69.0,10.0
42136,163839,The Black Sheep of Whitehall,80.0,10.0
34973,130754,Souls of Zen: Ancestors and Agency in Contemporary Japanese Temple Buddhism,89.0,10.0
34296,21466,Mera Naam Joker,224.0,10.0
39856,149320,King: A Filmed Record... Montgomery to Memphis,185.0,10.0
34348,143980,Brave Revolutionary,159.0,10.0
25787,19993,George Lopez: America's Mexican,65.0,10.0
3160,49477,Gendernauts: A Journey Through Shifting Identities,87.0,10.0
31251,140489,The Mother Of Invention,105.0,10.0
19915,21317,Paramore: The Final Riot!,70.0,10.0
42477,343018,American Sharia,96.0,10.0
12164,42173,Chilly Scenes of Winter,92.0,10.0
42438,312137,Has the Film Already Started?,62.0,10.0
31082,249677,Time Pass,143.0,10.0
38061,230284,One Man's Journey,72.0,10.0
42211,376188,Demidovy,156.0,10.0
29294,322460,Crooks and Coronets,106.0,10.0
35017,202727,Cattle Town,71.0,10.0
10456,34662,Li'l Abner,114.0,10.0
28152,150658,Goodbye & Amen,103.0,10.0
11385,68736,Joe Cocker - Mad Dogs & Englishmen,117.0,10.0
20209,46016,Road to Redemption,89.0,10.0
42179,295011,Patient Zero,0.0,10.0
22578,89445,Eggshells,89.0,10.0
35200,270926,Maidan,130.0,10.0
40142,407048,Scott Hall: Living on a Razor's Edge,0.0,10.0
29276,72178,One Night Only,87.0,10.0
44017,87296,"Oh, Bomb!",95.0,10.0
26170,287299,Katt Williams: Priceless: Afterlife,58.0,10.0
9389,27079,High Roller: The Stu Ungar Story,120.0,10.0
35818,277631,Birch Interval,104.0,10.0
44296,456956,Neither Wolf Nor Dog,110.0,10.0
37119,215726,Shuttlecock Boys,76.0,10.0
40777,363383,"My Night, Your Day",0.0,10.0
40781,410142,Lo Sound Desert,0.0,10.0
11050,43147,Blessed Event,80.0,10.0
27295,138699,The Little Hut,90.0,10.0
21616,62503,Almost Kings,93.0,10.0
36400,151062,Mad at the Moon,98.0,10.0
30143,81616,At Ellen’s Age,97.0,10.0
2114,143750,The Farmer's Wife,18.0,10.0
17270,263532,The Danube Exodus,60.0,10.0
27404,279979,The Court-Martial of Jackie Robinson,100.0,10.0
394,278939,Girl in the Cadillac,89.0,10.0
21490,107231,A Ticklish Affair,88.0,10.0
44550,367966,Harold and Lillian: A Hollywood Love Story,96.0,10.0
36310,361183,Sum of Histories,86.0,10.0
40954,119914,Titus Andronicus,168.0,10.0
21091,84765,Perfumed Nightmare,93.0,10.0
27628,180954,Vessel of Wrath,92.0,10.0
21415,259808,Criminal Justice,90.0,10.0
37002,371462,Mammal,99.0,10.0
21408,157862,Growing Pains,85.0,10.0
41036,251630,A Kiss at Midnight,0.0,10.0
36632,243416,Acéphale,90.0,10.0
27565,53543,Claymation Comedy of Horrors,30.0,10.0
36633,237422,Avetik,80.0,10.0
17106,115427,Macbeth,72.0,10.0
44629,433945,Tokyo Ghoul,119.0,10.0
40765,280030,Farewell Baghdad,105.0,10.0
13447,43034,Hell to Eternity,131.0,10.0
1761,78373,"Dancer, Texas Pop. 81",97.0,10.0
41560,139434,You Don't Like the Truth: 4 Days Inside Guantanamo,100.0,10.0
41646,401593,Big Jay Oakerson: Live at Webster Hall,0.0,10.0
37543,162611,Portrait of a Young Man in Three Movements,54.0,10.0
4046,54968,Simon Magus,101.0,10.0
27817,144183,Heavy Weather,95.0,10.0
41597,425553,My Future Love,99.0,10.0
44866,224204,Lad: A Yorkshire Story,96.0,10.0
8926,114524,Common Threads: Stories from the Quilt,79.0,10.0
27814,116437,Kolka Cool,97.0,10.0
35999,211139,The Lion of Thebes,89.0,10.0
21916,293412,Running Wild,0.0,10.0
37421,382899,Mother,90.0,10.0
20802,71508,The Taming of the Shrew,126.0,10.0
37390,254902,A Story of the Forest: Mavka,83.0,10.0
29630,139215,Garrison Keillor: The Man on the Radio in the Red Shoes,86.0,10.0
44348,431714,Long Strange Trip,235.0,10.0
36078,352156,Looking for Grace,100.0,10.0
16681,195651,The Misadventures of Margaret,105.0,10.0
16687,109887,My Foolish Heart,98.0,10.0
21798,113364,Stealing a Nation,56.0,10.0
27769,87506,Pan,115.0,10.0
27173,247447,Willow and Wind,77.0,10.0
37335,260352,Book of Days,74.0,10.0
37330,49099,Images of a Relief,57.0,10.0
30288,146679,Backyard Dogs,96.0,10.0
40753,169091,Zig Zag Story,100.0,10.0
36207,362100,Aashiq,0.0,10.0
39845,403593,Bazodee,101.0,10.0
30833,72886,Mortal Kombat: The Journey Begins,54.0,10.0
33389,134782,The Italian Key,92.0,10.0
25748,186845,Symphony of the Soil,104.0,10.0
24214,199415,Looking for Maria Sanchez,98.0,10.0
2948,124853,Ten Benny,108.0,10.0
24124,54336,Hori Smoku Sailor Jerry,73.0,10.0
15383,211256,Children in the Wind,88.0,10.0
18686,123320,Canned Dreams,75.0,10.0
2653,89861,Stiff Upper Lips,99.0,10.0
738,255546,Carmen Miranda: Bananas Is My Business,91.0,10.0
38722,197849,Winter Wind,91.0,10.0
31726,53315,The Kreutzer Sonata,99.0,10.0
28412,162821,Nocturne Indien,0.0,10.0
15397,47282,Little Dorrit,357.0,10.0
43473,296901,Firefly,84.0,10.0
11666,61648,Something in the Wind,94.0,10.0
19483,148408,The Crush,49.0,10.0
23851,261813,Slaying the Badger,77.0,10.0
28806,97593,Shark Kill,76.0,10.0
28825,260176,Southern Baptist Sissies,138.0,10.0
33627,267178,Mad As Hell,80.0,10.0
706,73183,"The Haunted World of Edward D. Wood, Jr.",112.0,10.0
23598,86297,Tall Story,91.0,10.0
45251,28469,Der Herr Karl,60.0,10.0
39643,101185,The Far Pavilions,320.0,10.0
33280,123691,Dream Deceivers: The Story Behind James Vance vs. Judas Priest,61.0,10.0
15249,37255,Ween: Live in Chicago,120.0,10.0
39681,84275,The Dragon Lives Again,0.0,10.0
24733,248870,An Apology to Elephants,40.0,10.0
39078,400791,Old Fashioned: The Story of the Wisconsin Supper Club,51.0,10.0
32135,224100,The Paw Project,58.0,10.0
25157,116385,Let No Man Write My Epitaph,105.0,10.0
43377,426224,Jedi Junior High,75.0,10.0
39157,206657,Truckfighters,84.0,10.0
24985,149940,Double Tide,99.0,10.0
24951,184061,Deliver Us from Evil,75.0,10.0
32440,324578,Butterfly,103.0,10.0
14536,125512,Dinosaurs!  A Fun-Filled Trip Back In Time,30.0,10.0
32649,135679,"Andrew Jenks, Room 335",90.0,10.0
19161,105567,The Union,87.0,10.0
39344,177869,Survive and Advance,90.0,10.0
32797,347328,"OMG, I'm a Robot!",90.0,10.0
32873,218974,Redemption,26.0,10.0
32949,269961,Pourquoi Israël,185.0,10.0
31822,114423,Canal Zone,174.0,10.0
45371,460135,LEGO DC Super Hero Girls: Brain Drain,0.0,10.0
31820,5731,Summer City,90.0,10.0
45362,173874,The Many Faces of Christopher Lee,60.0,10.0
18822,75132,Ollie Hopnoodle's Haven of Bliss,89.0,10.0
24335,108648,The Bride from Hades,89.0,10.0
25355,74417,The Great Kidnapping,95.0,10.0
43643,452166,The Reagan Show,75.0,10.0
36767,243934,Pin Boy,90.0,10.0
25654,241804,Fearless Fagan,79.0,10.0
45198,412669,First Round Down,0.0,10.0
25544,122348,Lunch Break,83.0,10.0
42628,415735,Sebastian Maniscalco: Why Would You Do That?,63.0,10.0
23191,197611,Dragonfly,98.0,10.0
39707,407298,American Hostage,100.0,10.0
34112,341201,Great Transport,134.0,10.0
38463,120249,‘Rameau’s Nephew’ by Diderot (Thanx to Dennis Young) by Wilma Schoen,270.0,10.0
25689,153936,Back to School with Franklin,47.0,10.0
42614,390991,Frankie Boyle: Hurt Like You've Never Been Loved,64.0,10.0
42731,327352,Christopher Titus: Angry Pursuit of Happiness,105.0,10.0
42733,342546,Nick Swardson: Taste It,68.0,10.0
39693,405653,The Death and Life of Otto Bloom,0.0,10.0
42612,390837,Stephen Lynch: Hello Kalamazoo,92.0,10.0
25565,145162,The Walking Stick,96.0,10.0
39760,86360,Sunnyside Up,121.0,10.0
14341,234937,Forever,97.0,10.0
20395,123648,The Land,130.0,9.8
19238,320917,Oranges,13.0,9.6
20943,149101,King of Katoren,120.0,9.5
19310,208579,The Rites of May,105.0,9.5
38067,101715,Unguarded,77.0,9.5
29494,265330,Bad Boys,100.0,9.5
20530,103162,Lenny Bruce: Swear to Tell the Truth,100.0,9.5
15387,108705,Acla's Descent into Floristella,86.0,9.5
30617,69160,Hells Angels Forever,0.0,9.5
41710,380013,Nobody Walks in L.A.,93.0,9.5
37213,199934,On Our Own,75.0,9.5
19550,262243,The John Garfield Story,58.0,9.5
21274,119928,Othello,204.0,9.5
25812,121611,The Biggest Bundle of Them All,108.0,9.5
43320,420714,Planet Earth II,300.0,9.5
20999,130824,As I Was Moving Ahead Occasionally I Saw Brief Glimpses of Beauty,288.0,9.5
43783,395965,A Billion Lives,94.0,9.5
40266,15611,Do You Believe in Miracles? The Story of the 1980 U.S. Hockey Team,60.0,9.5
41232,276833,"Quiet Riot: Well Now You're Here, There's No Way Back",104.0,9.5
14270,48214,The Merry Jail,48.0,9.5
41767,391039,Life+1 Day,110.0,9.4
25752,288581,Rocks in my Pockets,88.0,9.4
42155,362585,Kizumonogatari Part 3: Reiketsu,82.0,9.4
30211,253267,Vessel,90.0,9.3
36552,137269,Cousin Jules,91.0,9.3
36516,354100,Becoming Bulletproof,80.0,9.3
42290,414779,The River Thief,97.0,9.3
32429,8930,Modern Life,88.0,9.3
19365,134012,The Zero Years,123.0,9.3
41178,413361,Ice Guardians,108.0,9.3
42430,97643,The Tom Green Subway Monkey Hour,50.0,9.3
22904,95243,Vertical Features Remake,44.0,9.3
2124,69848,One Man's Hero,121.0,9.3
27435,242675,"Another Day, Another Time: Celebrating the Music of ""Inside Llewyn Davis""",101.0,9.3
19588,30953,Björk: Volumen,64.0,9.3
37733,337758,Honey Night,90.0,9.3
42799,434661,Zombie Pizza,94.0,9.3
35239,57440,After School,102.0,9.3
40315,375573,Chasing Great,105.0,9.3
35679,152393,The Fiction Makers,100.0,9.3
33400,338312,Argo 2,0.0,9.3
40531,24007,More Things That Happened,76.0,9.2
37752,214170,When Bjork Met Attenborough,48.0,9.2
18629,26397,The Civil War,680.0,9.2
23366,223971,Hunt vs Lauda: F1's Greatest Racing Rivals,59.0,9.2
43523,409926,Cosmos,60.0,9.1
40248,395985,Terra,97.0,9.1
10309,19404,Dilwale Dulhania Le Jayenge,190.0,9.1
26483,98293,The Captain Hates the Sea,93.0,9.0
42620,399810,Brad Williams: Daddy Issues,61.0,9.0
32647,107406,Oscenità,84.0,9.0
42575,437623,Hostages,104.0,9.0
43618,143883,Den radio,0.0,9.0
14389,63401,L'Amour Fou,252.0,9.0
21516,198342,Family Band: The Cowsills Story,90.0,9.0
35428,206155,Waiting in the Dark,130.0,9.0
24882,273334,United States of Secrets (Part One): The Program,114.0,9.0
4183,88727,Bloody Angels,100.0,9.0
36345,359154,13 days of October,0.0,9.0
30212,300179,The Lion’s Mouth Opens,28.0,9.0
44494,22099,Rammstein: Live aus Berlin,80.0,9.0
7541,107499,A Better Place,87.0,9.0
43158,410348,Is That a Gun in Your Pocket?,95.0,9.0
41406,369336,Frontier,82.0,9.0
13721,155426,Anioł w Krakowie,0.0,9.0
36470,50934,Pinocchio's Christmas,49.0,9.0
24838,117007,Deadline,90.0,9.0
35498,166888,The Condemned of Altona,114.0,9.0
41425,64965,"Per amore, solo per amore",0.0,9.0
24856,88486,Queens Of Evil,90.0,9.0
43657,172295,People of the Mountains,88.0,9.0
36507,280901,Shakespeare and Victor Hugo's Intimacies,83.0,9.0
8233,66641,Voices of Iraq,80.0,9.0
43352,41289,Bloodfight,100.0,9.0
30006,334132,You Are My Sunshine,107.0,9.0
43649,161244,Desmundo,101.0,9.0
36689,131398,Fun Without Limits,45.0,9.0
36644,281122,Ere erera baleibu icik subua aruaren,75.0,9.0
11337,98498,The Last Bolshevik,121.0,9.0
17003,140101,Love Torn in a Dream,123.0,9.0
23144,94344,The Loves of Pharaoh,100.0,9.0
22418,170309,Gold,120.0,9.0
32177,137853,Journey to Planet X,88.0,9.0
32051,317720,"English, August",118.0,9.0
41133,164827,"What Did You Do in the War, Thanassi?",0.0,9.0
25081,79151,Love You You,91.0,9.0
14628,14773,10 MPH,92.0,9.0
14604,97032,Too Early/Too Late,100.0,9.0
44573,448879,Приключения Домовёнка,,9.0
8227,126148,Lightning in a Bottle,103.0,9.0
30681,212754,Siddharth,96.0,9.0
16953,367647,Connections,0.0,9.0
32001,348857,Eugene Mirman: Vegan on His Way to the Complain Store,64.0,9.0
30230,70122,"Arabella, the Pirate's Daughter",69.0,9.0
33954,364781,Master and Tatyana,80.0,9.0
35540,79708,Pink Floyd: Behind the Wall,80.0,9.0
32806,298432,Freeway: Crack in the System,103.0,9.0
35553,140054,We Were Here: Part 1,0.0,9.0
41637,26016,Kathy Griffin: She'll Cut a Bitch,44.0,9.0
43477,65010,Smiling Eyes,0.0,9.0
34007,32286,From Mexico With Love,96.0,9.0
8292,210864,Celsius 41.11: The Temperature at Which the Brain... Begins to Die,72.0,9.0
30377,71063,The Flying Dutchman,140.0,9.0
42835,55505,To Be the Best,99.0,9.0
31756,77939,The False Servant,0.0,9.0
41604,214938,King for a Day,87.0,9.0
35927,126423,A Poem is a Naked Person,96.0,9.0
35011,134743,Who Am I This Time?,53.0,9.0
43529,427095,Kappen!,0.0,9.0
26074,269165,Die zwölf Geschworenen,,9.0
36044,255575,Parviz,0.0,9.0
42198,297342,Υπάρχει Και Φιλότιμο,,9.0
42191,300945,Νόμος 4000,96.0,9.0
22070,139848,On Modern Servitude,52.0,9.0
1743,188870,Leather Jacket Love Story,85.0,9.0
7319,238952,Along the Coast,25.0,9.0
41740,320892,Kyle Kinane: I Liked His Old Stuff Better,73.0,9.0
26880,123620,Spike of Bensonhurst,100.0,9.0
41739,418990,Kyle Kinane: Loose in Chicago,50.0,9.0
43977,36264,The Deserters,155.0,9.0
41738,145593,Kyle Kinane: Whiskey Icarus,64.0,9.0
13953,67463,Heimat: A Chronicle of Germany,925.0,9.0
22567,249072,We Need a Vacation,86.0,9.0
16369,56320,The Scientist,87.0,9.0
35165,93064,Bawdy Tales,93.0,9.0
44416,449012,Allen Iverson: The Answer,46.0,9.0
35616,68444,Blind,98.0,9.0
30233,117452,Tony 10,90.0,9.0
41493,382653,Old Stone,80.0,9.0
16792,8770,Uncounted,81.0,9.0
36230,135097,The Cinema Snob Movie,124.0,9.0
23251,29721,Ghost Adventures,87.0,9.0
32884,46963,The Grinch Grinches the Cat in the Hat,25.0,9.0
25895,123634,Poolside,15.0,9.0
42447,354379,Tashi and the Monk,39.0,9.0
31615,273084,Bipolar,80.0,9.0
14195,28299,"Forever, Darling",91.0,9.0
35642,10509,Buitenspel,77.0,9.0
25902,261207,A Night at the Movies: The Suspenseful World of Thrillers,58.0,9.0
36176,201643,Pit №8,95.0,9.0
32996,306838,Magallanes,109.0,9.0
33029,30294,The First Olympics: Athens 1896,237.0,9.0
44367,193216,Travels of an Ant,10.0,9.0
15164,55135,"When I Grow Up, I'll Be a Kangaroo",107.0,9.0
26720,1260,Lotte from Gadgetville,81.0,9.0
42924,400014,God's Compass,103.0,9.0
31076,192573,Zapatlela,150.0,9.0
34924,368330,Katyar Kaljat Ghusali,162.0,9.0
14656,87065,Louie Bluie,60.0,9.0
6472,1778,The Backyard,80.0,9.0
38599,362268,Stretch and Bobbito: Radio That Changed Lives,90.0,9.0
18910,105583,Diaries Notes and Sketches,180.0,9.0
45066,340856,Seinfeld: How It Began,65.0,9.0
39609,76348,Us Two,112.0,9.0
40604,378379,The Lost Arcade,79.0,9.0
37081,82409,Mutum,95.0,9.0
37439,228442,Déjeuner du matin,12.0,9.0
28524,160874,The Third Reich: The Rise & Fall,180.0,9.0
28367,98554,Serving Life,0.0,9.0
29745,256562,Tar Creek,95.0,9.0
38019,85613,Kentucky Kernels,75.0,9.0
21057,183672,Whole,55.0,9.0
28516,126729,Slingshot Hip Hop,80.0,9.0
19130,378452,The Barchester Chronicles,370.0,9.0
13240,185156,Jane Austen in Manhattan,108.0,9.0
29732,298634,One Little Pill,52.0,9.0
28770,322378,Nice People,96.0,9.0
44735,336544,Princes of the Yen,0.0,9.0
40084,231020,My Class,92.0,9.0
44830,435041,Obsession,31.0,9.0
37342,254661,O'er the Land,52.0,9.0
39965,322903,Naz & Maalik,86.0,9.0
20974,86282,Tie Xi Qu: West of the Tracks,551.0,9.0
20963,194668,New York: A Documentary Film,600.0,9.0
40148,347105,The Best of Insomniac with Dave Attell Volume 1,107.0,9.0
18843,58287,Position Among the Stars,109.0,9.0
18036,126015,America before Columbus,91.0,9.0
19968,38769,Little Miss Broadway,72.0,9.0
38862,78492,Ken,94.0,9.0
45351,188421,A History of Horror with Mark Gatiss,177.0,9.0
